,EventTime,Origin,Destination
0,1944.32715,UNKNOWN,EasternEurope
1,2003.03833,EasternEurope,Western Europe
2,1994.03832,EasternEurope,NorthAmerica
3,2003.03832,EasternEurope,Western Europe
4,2008.0382100000002,EasternEurope,Western Europe
5,2007.03833,EasternEurope,Western Europe
6,2000.0382200000001,EasternEurope,Western Europe
7,2010.03833,EasternEurope,Asia
8,2011.03832,EasternEurope,Asia
9,2012.0382100000002,EasternEurope,Western Europe
10,2007.03834,EasternEurope,Western Europe
11,2003.03834,EasternEurope,Western Europe
12,2007.03833,EasternEurope,Western Europe
13,2007.03833,EasternEurope,Western Europe
14,2004.7881100000002,EasternEurope,Western Europe
15,2009.03833,EasternEurope,Western Europe
16,2010.03833,EasternEurope,Asia
17,2007.03832,EasternEurope,Western Europe
18,2007.03832,EasternEurope,NorthAmerica
19,2018.03833,EasternEurope,Asia
20,2011.03832,EasternEurope,Western Europe
21,2009.03832,EasternEurope,Western Europe
22,2013.03832,EasternEurope,Western Europe
23,2011.03833,EasternEurope,Asia
24,1999.7836100000002,EasternEurope,Western Europe
25,2008.0382200000001,EasternEurope,Western Europe
26,1994.7318300000002,EasternEurope,Western Europe
27,2003.03833,EasternEurope,Western Europe
28,2007.03834,EasternEurope,Western Europe
29,2015.03834,EasternEurope,Asia
30,2015.03834,EasternEurope,Western Europe
31,2007.27185,EasternEurope,Western Europe
32,2015.03834,EasternEurope,Western Europe
33,2017.03834,EasternEurope,Asia
34,2017.03833,EasternEurope,Asia
35,2015.03834,EasternEurope,Western Europe
36,2011.564,EasternEurope,Western Europe
37,2017.03833,EasternEurope,Asia
38,2013.03834,EasternEurope,Western Europe
39,2015.03834,EasternEurope,Western Europe
40,2018.03834,EasternEurope,Asia
41,1996.0382200000001,EasternEurope,Western Europe
42,2009.03833,EasternEurope,Western Europe
43,2016.03823,EasternEurope,Western Europe
44,2016.0382200000001,EasternEurope,Western Europe
45,2003.0653100000002,EasternEurope,Asia
46,2012.0382200000001,Asia,EasternEurope
47,1999.40352,EasternEurope,Western Europe
48,2012.03823,Western Europe,EasternEurope
49,2012.03823,Western Europe,EasternEurope
50,2004.03823,EasternEurope,Western Europe
51,2013.03832,EasternEurope,Western Europe
52,2018.03832,EasternEurope,Asia
53,2015.03833,EasternEurope,Asia
54,2010.03833,EasternEurope,NorthAmerica
55,1978.72278,EasternEurope,Asia
56,2011.03833,EasternEurope,Western Europe
57,2014.03832,EasternEurope,Asia
58,2010.03832,EasternEurope,Western Europe
59,2007.03832,EasternEurope,Western Europe
60,2005.03832,EasternEurope,Western Europe
61,2008.0382200000001,EasternEurope,Asia
62,2000.6792400000002,EasternEurope,Western Europe
63,2003.03834,EasternEurope,Western Europe
64,2003.03834,EasternEurope,Western Europe
65,1960.47736,EasternEurope,Africa
66,2004.21971,Africa,Western Europe
67,2003.03833,Africa,Western Europe
68,2013.03833,Africa,Western Europe
69,2012.0382200000001,Africa,Asia
70,1982.03366,Africa,CentralAmerica
71,2017.03833,Africa,NortheastBrazil
72,1994.7418,Africa,SouthBrazil
73,2002.88469,SouthBrazil,SoutheastBrazil
74,2002.03833,Africa,Western Europe
75,2010.03833,Africa,Asia
76,2010.03832,Africa,CentralAmerica
77,2013.03832,Africa,Western Europe
78,2015.03832,Africa,Bahia
79,2007.03833,Africa,NorthAmerica
80,2006.03832,Africa,Western Europe
81,2004.0382100000002,Africa,Western Europe
82,2014.03833,EasternEurope,Asia
83,2012.0382200000001,EasternEurope,Asia
84,2013.03833,EasternEurope,Western Europe
85,2010.03833,EasternEurope,Asia
86,1992.7630100000001,EasternEurope,Western Europe
87,2012.03823,EasternEurope,Asia
88,2014.03834,EasternEurope,Western Europe
89,2011.03834,EasternEurope,Western Europe
90,2013.03834,EasternEurope,Oceania
91,2016.03824,EasternEurope,Western Europe
92,2004.0297400000002,EasternEurope,Western Europe
93,2011.5643300000002,Western Europe,Asia
94,2014.03833,EasternEurope,Western Europe
95,2006.03833,EasternEurope,Western Europe
96,2014.20585,EasternEurope,Asia
97,2013.03834,EasternEurope,Western Europe
98,2006.03834,EasternEurope,Western Europe
99,2002.50604,EasternEurope,Western Europe
100,2012.03823,EasternEurope,Western Europe
101,1993.1728500000002,EasternEurope,Western Europe
102,2012.03823,Western Europe,EasternEurope
103,2011.03835,Western Europe,EasternEurope
104,2012.03823,Western Europe,EasternEurope
105,2008.03823,Western Europe,EasternEurope
106,2001.1521200000002,Western Europe,EasternEurope
107,2014.03834,EasternEurope,Western Europe
108,2015.03834,EasternEurope,Western Europe
109,2013.98128,EasternEurope,Western Europe
110,2014.03833,EasternEurope,Western Europe
111,2015.03833,EasternEurope,Western Europe
112,2015.03833,EasternEurope,Western Europe
113,2012.37532,EasternEurope,Western Europe
114,2010.03833,EasternEurope,Oceania
115,2003.7373400000001,EasternEurope,Western Europe
116,1958.09227,EasternEurope,Africa
117,1979.9644700000001,Africa,CentralAmerica
118,2017.03833,Africa,Bahia
119,2003.03833,Africa,Western Europe
120,1999.03833,Africa,Western Europe
121,2015.03834,Africa,Asia
122,2016.03823,Africa,SouthAmerica
123,2003.03833,Africa,Western Europe
124,2009.03833,Africa,Western Europe
125,2012.0382200000001,Africa,Western Europe
126,2005.03833,Africa,Western Europe
127,2005.03833,Africa,Western Europe
128,2006.03833,Africa,Asia
129,1976.81877,Africa,EasternEurope
130,1995.20604,Africa,CentralAmerica
131,2002.03834,Africa,Western Europe
132,2007.03834,Africa,Asia
133,2010.23646,Africa,Western Europe
134,1981.46601,Africa,Western Europe
135,1996.03824,Western Europe,North America
136,2007.03835,Western Europe,SouthAmerica
137,1959.18469,Africa,SoutheastBrazil
138,2017.03833,SoutheastBrazil,SouthBrazil
139,2015.03834,SoutheastBrazil,Western Europe
140,1998.03834,SoutheastBrazil,Western Europe
141,2015.03835,SoutheastBrazil,SouthBrazil
142,2016.0382200000001,SoutheastBrazil,NortheastBrazil
143,2016.03823,SoutheastBrazil,SouthBrazil
144,2017.03834,SoutheastBrazil,MidwestBrazil
145,1997.7881300000001,SoutheastBrazil,Bahia
146,2018.03833,SoutheastBrazil,Western Europe
147,2013.03834,SoutheastBrazil,Western Europe
148,2008.03823,SoutheastBrazil,Asia
149,1972.3729500000002,SoutheastBrazil,MidwestBrazil
150,2015.03834,MidwestBrazil,SoutheastBrazil
151,2015.03834,MidwestBrazil,NorthBrazil
152,2015.03834,MidwestBrazil,NorthBrazil
153,2016.03823,MidwestBrazil,NortheastBrazil
154,2017.03834,MidwestBrazil,NorthBrazil
155,1975.68595,SoutheastBrazil,SouthBrazil
156,2004.9370000000001,SouthBrazil,MidwestBrazil
157,2017.03833,SouthBrazil,SoutheastBrazil
158,2014.03833,SouthBrazil,SoutheastBrazil
159,1995.1369300000001,SouthBrazil,NortheastBrazil
160,2017.03833,NortheastBrazil,MidwestBrazil
161,2017.03834,SoutheastBrazil,SouthBrazil
162,2002.16301,SoutheastBrazil,MidwestBrazil
163,1981.21558,SoutheastBrazil,SouthBrazil
164,2015.03834,SouthBrazil,SoutheastBrazil
165,2016.03823,SouthBrazil,NorthBrazil
166,2016.03823,SouthBrazil,NorthBrazil
167,1970.1502300000002,SoutheastBrazil,SouthBrazil
168,1987.75629,SouthBrazil,SoutheastBrazil
169,2003.03834,SoutheastBrazil,Western Europe
170,2016.03823,SoutheastBrazil,SouthBrazil
171,2017.03834,SoutheastBrazil,MidwestBrazil
172,1970.48799,SoutheastBrazil,NorthBrazil
173,2015.03834,NorthBrazil,SouthBrazil
174,2017.03834,NorthBrazil,SoutheastBrazil
175,2017.03833,NorthBrazil,SouthAmerica
176,2006.03833,NorthBrazil,SouthAmerica
177,2016.03823,NorthBrazil,SoutheastBrazil
178,2015.03834,SoutheastBrazil,NortheastBrazil
179,1989.13293,SoutheastBrazil,MidwestBrazil
180,2013.83822,MidwestBrazil,NorthBrazil
181,1998.3014500000002,SoutheastBrazil,NortheastBrazil
182,2015.03834,SoutheastBrazil,NorthBrazil
183,1983.3874500000002,SoutheastBrazil,Bahia
184,2016.03823,Bahia,SoutheastBrazil
185,1993.4979400000002,SoutheastBrazil,NortheastBrazil
186,2006.5876500000002,NortheastBrazil,SoutheastBrazil
187,2017.03835,SoutheastBrazil,NortheastBrazil
188,2016.03823,SoutheastBrazil,SouthBrazil
189,2017.03833,SoutheastBrazil,Western Europe
190,2014.03833,SoutheastBrazil,Western Europe
191,2016.0382200000001,SoutheastBrazil,SouthBrazil
192,2015.03834,SoutheastBrazil,Bahia
193,2006.03833,SoutheastBrazil,Western Europe
194,1987.42666,SoutheastBrazil,Bahia
195,2015.68766,SoutheastBrazil,HVBahia
196,2013.03834,SoutheastBrazil,Western Europe
197,2017.03834,SoutheastBrazil,NorthBrazil
198,2016.03823,SoutheastBrazil,MidwestBrazil
199,1988.9422000000002,SoutheastBrazil,NorthBrazil
200,2015.03834,NorthBrazil,SoutheastBrazil
201,2016.03823,SoutheastBrazil,Bahia
202,2017.03834,SoutheastBrazil,NortheastBrazil
203,1987.57553,SoutheastBrazil,MidwestBrazil
204,2017.03834,SoutheastBrazil,NortheastBrazil
205,2016.03824,SoutheastBrazil,SouthBrazil
206,2006.03834,SoutheastBrazil,SouthBrazil
207,1995.2538100000002,SoutheastBrazil,MidwestBrazil
208,2015.03835,SoutheastBrazil,NorthBrazil
209,1993.3585,SoutheastBrazil,Western Europe
210,2015.03834,Western Europe,SoutheastBrazil
211,2016.03824,Western Europe,MidwestBrazil
212,1991.6237800000001,SoutheastBrazil,Western Europe
213,2016.03823,Western Europe,SoutheastBrazil
214,2017.03834,Western Europe,SoutheastBrazil
215,2002.31842,Western Europe,SoutheastBrazil
216,2008.03823,SoutheastBrazil,MidwestBrazil
217,2017.03835,SoutheastBrazil,MidwestBrazil
218,2017.03835,SoutheastBrazil,SouthBrazil
219,2014.4297100000001,SoutheastBrazil,MidwestBrazil
220,1972.0604500000002,SoutheastBrazil,SouthBrazil
221,1980.9777000000001,SouthBrazil,SoutheastBrazil
222,2017.03836,SoutheastBrazil,NortheastBrazil
223,2016.03824,SouthBrazil,SoutheastBrazil
224,2017.03836,SouthBrazil,NortheastBrazil
225,2017.03835,SouthBrazil,SoutheastBrazil
226,1991.6449400000001,SoutheastBrazil,SouthBrazil
227,2016.03824,SouthBrazil,SoutheastBrazil
228,2015.03834,SoutheastBrazil,NortheastBrazil
229,2017.03834,SoutheastBrazil,MidwestBrazil
230,2005.03834,SoutheastBrazil,Western Europe
231,2017.03834,SoutheastBrazil,NorthBrazil
232,2015.03834,SoutheastBrazil,MidwestBrazil
233,1972.768,SoutheastBrazil,NortheastBrazil
234,2015.03835,NortheastBrazil,SoutheastBrazil
235,2016.03824,NortheastBrazil,SoutheastBrazil
236,2017.03835,NortheastBrazil,SoutheastBrazil
237,1996.9832600000002,NortheastBrazil,SoutheastBrazil
238,1972.1396900000002,SoutheastBrazil,MidwestBrazil
239,2016.03824,MidwestBrazil,SoutheastBrazil
240,2016.03824,MidwestBrazil,SouthAmerica
241,2014.03835,MidwestBrazil,NorthBrazil
242,2016.03824,MidwestBrazil,SoutheastBrazil
243,2015.03835,MidwestBrazil,SoutheastBrazil
244,2005.03835,MidwestBrazil,Western Europe
245,2006.03835,MidwestBrazil,Western Europe
246,2005.03834,MidwestBrazil,Western Europe
247,2007.99043,MidwestBrazil,Western Europe
248,2017.03835,MidwestBrazil,Western Europe
249,2012.03824,MidwestBrazil,NortheastBrazil
