** Cluster Picker Results **
Cluster Picker v 1.2.5
Input sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.fasta
Input tree =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1.nwk
Initial support threshold=	90.0
Support threshold=	90.0
Genetic distance threshold=	0.03
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1ta_alnedited_subtypeF1_clusterPicks.fas
Output tree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk
Output figtree=	\\wsl.localhost\Ubuntu-20.04\home\gabalves\ClusterPicker\Corrigido\ALRT90\alnedited_subtypeF1_clusterPicks.nwk.figTree
-------------------------
There are	4493	sequences
Tree has	4493	tips
Found	381	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[KEXV01032097|Brazil|Bahia|2016-01-15, KT951010|Brazil|Bahia|VerificarCidade|2012-01-15]	99.9	0.014705882352941176
2	2	2	[KEXV01002852|Brazil|Sergipe|2015-01-15, KT951012|Brazil|Bahia|VerificarCidade|2012-01-15]	99.4	0.025490196078431372
3	3	3	[KY640113|Brazil|SaoPaulo|2015-01-15, KEXV01011630|Brazil|SaoPaulo|2015-01-15, MN237398|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
4	8	8	[HV0003|Brazil|Bahia|2014-08-14, HV0092|Brazil|Bahia|2014-11-20, HV0406|Brazil|Bahia|2015-08-28, HV0064|Brazil|Bahia|2014-10-20, HV0014|Brazil|Bahia|2014-08-20, KEXV01032376|Brazil|Bahia|2016-01-15, KEXV01035455|Brazil|MinasGerais|2017-01-15, HV0348|Brazil|Bahia|2015-06-30]	99.8	0.021568627450980392
5	2	2	[KEXV01032465|Brazil|Bahia|2017-01-15, KT950973|Brazil|Bahia|VerificarCidade|2012-01-15]	90.3	0.029411764705882353
6	3	3	[KY581453|Brazil|Bahia|2014-01-15, KEXV01007693|Brazil|Bahia|2014-01-15, KEXV01032491|Brazil|Bahia|2017-01-15]	99.4	0.00392156862745098
7	2	2	[KEXV01037014|Brazil|Pernambuco|2016-01-15, KEXV01037325|Brazil|Pernambuco|2017-01-15]	93.5	0.022549019607843137
8	10	10	[HV0116|Brazil|Bahia|2014-12-10, KEXV01032773|Brazil|Bahia|2017-01-15, KEXV01004819|Brazil|Bahia|2015-01-15, HV0444|Brazil|Bahia|2015-09-18, KEXV01032335|Brazil|Bahia|2016-01-15, KT950985|Brazil|Bahia|VerificarCidade|2012-01-15, KEXV01032769|Brazil|Bahia|2017-01-15, HV0248|Brazil|Bahia|2015-04-10, KEXV01042231|Brazil|SantaCatarina|2016-01-15, KEXV01042713|Brazil|SantaCatarina|2017-01-15]	97.6	0.028431372549019607
9	4	4	[MT741454|FrenchGuiana|2010-01-15, MT741460|FrenchGuiana|2013-01-15, MT741462|FrenchGuiana|2014-01-15, MT741464|FrenchGuiana|2015-01-15]	99.9	0.021568627450980392
10	2	2	[KEXV01031996|Brazil|Amapa|2017-01-15, KEXV01032001|Brazil|Amapa|2017-01-15]	99.9	0.026470588235294117
11	2	2	[KEXV01011645|Brazil|SaoPaulo|2015-01-15, KX838569|Brazil|SaoPaulo|2015-01-15]	99.7	0.0
12	2	2	[KT998121|FrenchGuiana|2009-01-15, KEXV01002659|Brazil|Goias|2015-01-15]	99.1	0.021568627450980392
13	2	2	[KEXV01008708|Brazil|RioDeJaneiro|2015-01-15, KEXV01039382|Brazil|RioDeJaneiro|2017-01-15]	98.4	0.024509803921568627
14	2	2	[KX887690|Brazil|Para|2015-01-15, KX887694|Brazil|Para|2015-01-15]	96.2	0.016666666666666666
15	2	2	[MN971896|Brazil|Maranhao|2016-01-15, KEXV01034284|Brazil|Maranhao|2016-01-15]	100.0	0.0
16	2	2	[KT951014|Brazil|Bahia|VerificarCidade|2012-01-15, KT951015|Brazil|Bahia|VerificarCidade|2012-01-15]	100.0	0.01568627450980392
17	4	4	[MW489617|IT|2018-01-15, MT788295|Italy|2012-01-15, MT788296|Italy|2012-01-15, MW489694|Italy|2014-01-15]	99.6	0.020588235294117647
18	2	2	[EF393928|Brazil|RioGrandeDoSul|2006-01-15, KEXV01041484|Brazil|RioGrandeDoSul|2017-01-15]	90.8	0.029411764705882353
19	2	2	[MN528462|Brazil|Para|Bragaca|2017-01-15, MN528210|Brazil|Amapa|2013-01-15]	99.9	0.0
20	2	2	[KX357233|Brazil|RioDeJaneiro|NovaIguacu|2012-01-15, KX357281|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15]	99.4	0.00980392156862745
21	2	2	[KEXV01011502|Brazil|SaoPaulo|2014-01-15, MN236419|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
22	3	3	[EF042629|Brazil|RioDeJaneiro|Saquarema|2005-01-15, EF042667|Brazil|RioDeJaneiro|Saquarema|2005-01-15, MG365863|Brazil|RioDeJaneiro|2011-01-15]	99.9	0.022549019607843137
23	2	2	[JN710763|Bolivia|1996-01-15, JN710764|Bolivia|1996-01-15]	100.0	0.0029411764705882353
24	2	2	[KEXV01008752|Brazil|RioDeJaneiro|2015-01-15, KEXV01038552|Brazil|RioDeJaneiro|2016-01-15]	95.9	0.025490196078431372
25	2	2	[KT355943|Brazil|Pernambuco|Recife|2009-01-15, KT355944|Brazil|Pernambuco|Recife|2009-01-15]	100.0	0.00784313725490196
26	2	2	[MH073533|Germany|2013-01-15, MK064270|Germany|2013-01-15]	98.8	0.006862745098039216
27	2	2	[AJ577733|France|1999-01-15, AJ577734|France|2001-01-15]	99.4	0.013725490196078431
28	2	2	[KEXV01031345|Brazil|RioDeJaneiro|2015-01-15, KEXV01039780|Brazil|RioDeJaneiro|2017-01-15]	100.0	0.0196078431372549
29	2	2	[MK720299|Cameroon|2018-01-15, MK720340|Cameroon|2018-01-15]	99.6	0.00392156862745098
30	2	2	[KEXV01015656|Brazil|SaoPaulo|2015-01-15, KX838629|Brazil|SaoPaulo|2014-01-15]	92.0	0.013725490196078431
31	2	2	[KEXV01011897|Brazil|SaoPaulo|2015-01-15, MN236806|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
32	2	2	[KEXV01043263|Brazil|SaoPaulo|2016-01-15, KEXV01043392|Brazil|SaoPaulo|2016-01-15]	100.0	0.014705882352941176
33	2	2	[KP115535|Brazil|SaoPaulo|2014-01-15, KEXV01011417|Brazil|SaoPaulo|2014-01-15]	100.0	0.00196078431372549
34	2	2	[KF782688|Brazil|Maranhao|2012-01-15, KT737285|Brazil|Amapa|2014-01-15]	91.9	0.028431372549019607
35	2	2	[AY643246|Brazil|SaoPaulo|2003-01-15, KEXV01044862|Brazil|SaoPaulo|2016-01-15]	99.4	0.00784313725490196
36	7	7	[KT203236|Brazil|Parana|Curitiba|2015-01-15, KT203238|Brazil|Parana|Curitiba|2015-01-15, KT203239|Brazil|Parana|Curitiba|2015-01-15, KT203237|Brazil|Parana|Curitiba|2015-01-15, KT203240|Brazil|Parana|Curitiba|2015-01-15, KT203241|Brazil|Parana|Curitiba|2015-01-15, KT203242|Brazil|Parana|Curitiba|2015-01-15]	97.7	0.024509803921568627
37	2	2	[KEXV01041699|Brazil|RioGrandeDoSul|2017-01-15, KEXV01041766|Brazil|RioGrandeDoSul|2017-01-15]	93.8	0.027450980392156862
38	2	2	[JX460454|UnitedStates|2010-01-15, JX460497|UnitedStates|2010-01-15]	99.8	0.021568627450980392
39	2	2	[KEXV01009318|Brazil|RioGrandeDoSul|2015-01-15, EF379167|Brazil|RioGrandeDoSul|2005-01-15]	100.0	0.025490196078431372
40	2	2	[HM025427|Brazil|SaoPaulo|2007-01-15, MN237391|Brazil|SaoPaulo|2015-01-15]	99.6	0.024509803921568627
41	2	2	[KM851076|Brazil|Parana|2012-01-15, MN528367|Brazil|Para|2016-01-15]	99.7	0.004901960784313725
42	2	2	[KEXV01044827|Brazil|SaoPaulo|2016-01-15, MN237043|Brazil|SaoPaulo|2015-01-15]	100.0	0.013725490196078431
43	2	2	[OQ377039|BR|2018-01-15, OQ377040|BR|2019-01-15]	100.0	0.0029411764705882353
44	2	2	[KEXV01045765|Brazil|SaoPaulo|2017-01-15, KEXV01046723|Brazil|SaoPaulo|2017-01-15]	99.9	0.027450980392156862
45	2	2	[KEXV01034068|Brazil|Goias|2017-01-15, KEXV01046372|Brazil|SaoPaulo|2017-01-15]	99.3	0.028431372549019607
46	2	2	[FJ638432|Brazil|Goias|Goiania|2007-01-15, MN528365|Brazil|Para|2015-01-15]	98.9	0.00196078431372549
47	3	3	[FJ638437|Brazil|Goias|Goiania|2007-01-15, MN528364|Brazil|Para|2015-01-15, FJ784206|Brazil|Goias|Goiania|2003-01-15]	97.3	0.018627450980392157
48	3	3	[KM851066|Brazil|Parana|2012-01-15, KM851067|Brazil|Parana|2012-01-15, MN528368|Brazil|Para|2016-01-15]	97.8	0.00980392156862745
49	2	2	[MN237379|Brazil|SaoPaulo|2014-01-15, MN237384|Brazil|SaoPaulo|2014-01-15]	99.9	0.0
50	2	2	[KEXV01029664|Brazil|Pernambuco|2015-01-15, KEXV01037171|Brazil|Pernambuco|2017-01-15]	100.0	0.016666666666666666
51	2	2	[KEXV01038491|Brazil|RioDeJaneiro|2016-01-15, KEXV01039087|Brazil|RioDeJaneiro|2017-01-15]	96.9	0.0196078431372549
52	2	2	[KY640150|Brazil|SaoPaulo|2015-01-15, MN237464|Brazil|SaoPaulo|2015-01-15]	99.3	0.0
53	2	2	[KX357282|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15, KEXV01008832|Brazil|RioDeJaneiro|2015-01-15]	99.7	0.018627450980392157
54	2	2	[KEXV01014435|Brazil|SaoPaulo|2014-01-15, KEXV01014797|Brazil|SaoPaulo|2014-01-15]	100.0	0.023529411764705882
55	2	2	[JF342306|Brazil|MatoGrossoDoSul|CampoGrande|2008-01-15, MF545227|Brazil|MatoGrossoDoSul|2011-01-15]	99.9	0.0029411764705882353
56	2	2	[KEXV01038867|Brazil|RioDeJaneiro|2016-01-15, KEXV01039127|Brazil|RioDeJaneiro|2017-01-15]	95.5	0.018627450980392157
57	2	2	[KEXV01004855|Brazil|Bahia|2015-01-15, KT951035|Brazil|Bahia|VerificarCidade|2012-01-15]	99.5	0.024509803921568627
58	2	2	[JN196002|Brazil|SaoPaulo|SaoPaulo|2010-01-15, KT427814|Brazil|SaoPaulo|2010-01-15]	100.0	0.00980392156862745
59	2	2	[KEXV01035231|Brazil|MinasGerais|2017-01-15, KEXV01035471|Brazil|MinasGerais|2017-01-15]	100.0	0.0196078431372549
60	3	3	[KT355914|Brazil|DistritoFederal|Brasilia|2009-01-15, MN971890|Brazil|Maranhao|2016-01-15, KEXV01034288|Brazil|Maranhao|2016-01-15]	98.3	0.024509803921568627
61	2	2	[MH073458|Germany|2012-01-15, MH073697|Germany|2013-01-15]	100.0	0.008823529411764706
62	2	2	[KEXV01038687|Brazil|RioDeJaneiro|2016-01-15, KEXV01039107|Brazil|RioDeJaneiro|2017-01-15]	99.6	0.013725490196078431
63	2	2	[FJ784224|Brazil|Goias|Goiania|2003-01-15, KEXV01034030|Brazil|Goias|2017-01-15]	93.3	0.020588235294117647
64	2	2	[KEXV01011743|Brazil|SaoPaulo|2015-01-15, MN236627|Brazil|SaoPaulo|2015-01-15]	100.0	0.0
65	3	3	[KEXV01032398|Brazil|Bahia|2016-01-15, KEXV01033623|Brazil|EspiritoSanto|2016-01-15, KEXV01040083|Brazil|Roraima|2016-01-15]	100.0	0.022549019607843137
66	2	2	[KP115538|Brazil|SaoPaulo|2014-01-15, KEXV01045318|Brazil|SaoPaulo|2017-01-15]	99.7	0.026470588235294117
67	2	2	[KEXV01007410|Brazil|MinasGerais|2015-01-15, KEXV01035126|Brazil|MinasGerais|2017-01-15]	100.0	0.01568627450980392
