SequenceName	ClusterNumber
KEXV01002510|Brazil|DistritoFederal|2015-01-15	-1
KT950988|Brazil|Bahia|VerificarCidade|2012-01-15	230
KJ194675|Romania|2012-01-15	-1
MT741463|FrenchGuiana|2015-01-15	98
KEXV01039099|Brazil|RioDeJaneiro|2017-01-15	-1
MK543522|Angola|2018-01-15	-1
KEXV01029680|Brazil|Pernambuco|2015-01-15	-1
JN010247|Spain|2010-01-15	309
ON611670|Italy|2019-01-15	-1
KEXV01008557|Brazil|RioDeJaneiro|2015-01-15	-1
EU553073|Romania|2003-01-15	-1
KEXV01040681|Brazil|RioGrandeDoSul|2016-01-15	-1
KP115499|Brazil|SaoPaulo|2013-01-15	-1
KEXV01007662|Brazil|Bahia|2014-01-15	235
KEXV01043263|Brazil|SaoPaulo|2016-01-15	32
KEXV01009067|Brazil|RioDeJaneiro|2015-01-15	-1
EU189728|Brazil|SaoPaulo|2006-01-15	256
KY640026|Brazil|SaoPaulo|2015-01-15	-1
MT741441|Martinique|1996-01-15	-1
KEXV01032114|Brazil|Bahia|2016-01-15	-1
KEXV01037357|Brazil|Pernambuco|2017-01-15	-1
KEXV01007577|Brazil|MinasGerais|2015-01-15	-1
KEXV01033675|Brazil|EspiritoSanto|2017-01-15	-1
KEXV01036377|Brazil|Para|2017-01-15	-1
GQ399125|Italy|2004-01-15	-1
KEXV01002654|Brazil|Goias|2015-01-15	-1
KEXV01041653|Brazil|RioGrandeDoSul|2017-01-15	-1
KEXV01039971|Brazil|RioGrandeDoNorte|2017-01-15	-1
KEXV01038700|Brazil|RioDeJaneiro|2016-01-15	-1
KEXV01012612|Brazil|SaoPaulo|2008-01-15	-1
KEXV01009340|Brazil|RioGrandeDoSul|2015-01-15	-1
KEXV01033798|Brazil|Goias|2016-01-15	270
KEXV01007344|Brazil|MinasGerais|2015-01-15	93
KEXV01035926|Brazil|MatoGrosso|2017-01-15	-1
KEXV01035070|Brazil|MinasGerais|2017-01-15	-1
KEXV01004972|Brazil|Bahia|2015-01-15	-1
KEXV01035116|Brazil|MinasGerais|2017-01-15	-1
MF403310|Spain|Valencia|2007-01-15	-1
KEXV01036662|Brazil|Pernambuco|2016-01-15	-1
KJ194818|Romania|2013-01-15	361
KF853738|Angola|2009-01-15	-1
KEXV01033644|Brazil|EspiritoSanto|2017-01-15	-1
KEXV01032552|Brazil|Bahia|2017-01-15	-1
MN528210|Brazil|Amapa|2013-01-15	19
EU553263|Romania|2007-01-15	376
MT417748|Belgium|2017-01-15	243
KJ194739|Romania|2012-01-15	348
KEXV01044599|Brazil|SaoPaulo|2016-01-15	-1
AF204051|Romania|1997-01-15	-1
KEXV01036190|Brazil|Para|2017-01-15	-1
KEXV01044232|Brazil|SaoPaulo|2016-01-15	71
KX534326|Spain|2016-01-15	242
KEXV01036752|Brazil|Pernambuco|2016-01-15	-1
KEXV01030952|Brazil|Parana|2015-01-15	-1
AF204052|Romania|1997-01-15	-1
KEXV01033493|Brazil|DistritoFederal|2017-01-15	-1
KJ883118|Spain|2012-01-15	-1
MN237327|Brazil|SaoPaulo|2017-01-15	-1
HM025277|Brazil|SaoPaulo|2006-01-15	-1
KEXV01044158|Brazil|SaoPaulo|2016-01-15	-1
KJ194782|Romania|2011-01-15	-1
KEXV01039393|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01038107|Brazil|Parana|2017-01-15	-1
KEXV01037873|Brazil|Parana|2016-01-15	-1
MW489666|IT|2018-01-15	372
KT951035|Brazil|Bahia|VerificarCidade|2012-01-15	57
EU553231|Romania|2006-01-15	315
KEXV01038248|Brazil|RioDeJaneiro|2016-01-15	-1
FJ548818|Brazil|Goias|Goiania|2007-01-15	-1
KJ194707|Romania|2011-01-15	-1
FJ591664|Brazil|RioDeJaneiro|2006-01-15	-1
MW489677|Italy|2016-01-15	-1
JN010221|Spain|2010-01-15	-1
KT951015|Brazil|Bahia|VerificarCidade|2012-01-15	16
KEXV01015962|Brazil|SaoPaulo|2015-01-15	-1
KT737285|Brazil|Amapa|2014-01-15	34
EU553232|Romania|2006-01-15	346
EU189734|Brazil|SaoPaulo|2006-01-15	-1
EU553152|Romania|2005-01-15	-1
KEXV01046709|Brazil|SaoPaulo|2017-01-15	-1
KEXV01035781|Brazil|MatoGrosso|2016-01-15	-1
KEXV01034549|Brazil|MinasGerais|2016-01-15	-1
KEXV01035939|Brazil|MatoGrosso|2017-01-15	-1
KEXV01039517|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01029715|Brazil|Pernambuco|2015-01-15	261
KX159041|Romania|2014-01-15	-1
EU553247|Romania|2006-01-15	-1
KEXV01007059|Brazil|MinasGerais|2014-01-15	-1
KEXV01046392|Brazil|SaoPaulo|2017-01-15	-1
KEXV01040958|Brazil|RioGrandeDoSul|2016-01-15	-1
KEXV01032097|Brazil|Bahia|2016-01-15	1
KT737305|Brazil|Amapa|2014-01-15	-1
KEXV01044143|Brazil|SaoPaulo|2016-01-15	-1
KEXV01036932|Brazil|Pernambuco|2016-01-15	-1
EU553200|Romania|2005-01-15	-1
EU553248|Romania|2006-01-15	-1
KEXV01033046|Brazil|Ceara|2016-01-15	-1
EU553168|Romania|2005-01-15	-1
EU553088|Romania|2004-01-15	-1
KEXV01036497|Brazil|Paraiba|2016-01-15	-1
KEXV01045305|Brazil|SaoPaulo|2017-01-15	-1
KEXV01045967|Brazil|SaoPaulo|2017-01-15	-1
KEXV01042851|Brazil|SaoPaulo|2015-01-15	-1
KX159057|Romania|2014-01-15	-1
KEXV01007068|Brazil|MinasGerais|2014-01-15	-1
EU553041|Romania|2003-01-15	244
KEXV01032117|Brazil|Bahia|2016-01-15	197
KEXV01038326|Brazil|RioDeJaneiro|2016-01-15	-1
KX357262|Brazil|RioDeJaneiro|NovaIguacu|2013-01-15	-1
MN237398|Brazil|SaoPaulo|2015-01-15	3
MN236826|Brazil|SaoPaulo|2015-01-15	275
KY868768|Australia|2010-01-15	-1
HM024954|Brazil|SaoPaulo|2005-01-15	-1
KEXV01045526|Brazil|SaoPaulo|2017-01-15	-1
FJ591509|Brazil|Parana|2006-01-15	-1
KX357219|Brazil|RioDeJaneiro|NovaIguacu|2012-01-15	-1
KEXV01037662|Brazil|Parana|2016-01-15	-1
KEXV01033912|Brazil|Goias|2016-01-15	-1
KEXV01039876|Brazil|RioGrandeDoNorte|2016-01-15	-1
MK177768|Spain|2018-01-15	329
FJ591693|Brazil|RioDeJaneiro|2006-01-15	-1
KEXV01034551|Brazil|MinasGerais|2016-01-15	-1
HM191568|Romania|2004-01-15	-1
KT229019|Australia|2013-01-15	-1
EU553057|Romania|2003-01-15	320
MT570436|UnitedKingdom|2015-01-15	337
KEXV01043829|Brazil|SaoPaulo|2016-01-15	-1
HM191569|Romania|2004-01-15	-1
MT570472|UnitedKingdom|2015-01-15	-1
KEXV01034999|Brazil|MinasGerais|2017-01-15	-1
KEXV01032135|Brazil|Bahia|2016-01-15	-1
FJ591511|Brazil|Parana|2006-01-15	-1
KEXV01036161|Brazil|Para|2016-01-15	-1
KEXV01046193|Brazil|SaoPaulo|2017-01-15	-1
KEXV01036945|Brazil|Pernambuco|2016-01-15	-1
KP115491|Brazil|SaoPaulo|2013-01-15	-1
GQ398932|Italy|2005-01-15	-1
KJ194706|Romania|2012-01-15	-1
KEXV01037311|Brazil|Pernambuco|2017-01-15	-1
MN509094|Brazil|Goias|2014-01-15	-1
KEXV01031022|Brazil|SantaCatarina|2015-01-15	-1
JN671350|Argentina|2007-01-15	-1
KEXV01045547|Brazil|SaoPaulo|2017-01-15	-1
KEXV01042940|Brazil|SaoPaulo|2016-01-15	-1
KC249752|Brazil|Goias|2011-01-15	-1
KEXV01002637|Brazil|Goias|2015-01-15	-1
KEXV01042554|Brazil|SantaCatarina|2017-01-15	-1
KJ771512|Germany|2011-01-15	-1
HM025462|Brazil|SaoPaulo|2007-01-15	-1
GQ399922|Portugal|2003-01-15	-1
FJ591397|Brazil|Parana|2005-01-15	-1
KEXV01045401|Brazil|SaoPaulo|2017-01-15	-1
KEXV01011782|Brazil|SaoPaulo|2015-01-15	-1
KEXV01045732|Brazil|SaoPaulo|2017-01-15	185
MN236627|Brazil|SaoPaulo|2015-01-15	64
LT578264|CentralAfricanRepublic|2009-01-15	-1
MN237224|Brazil|SaoPaulo|2017-01-15	-1
KC340870|Spain|2011-01-15	-1
KEXV01045658|Brazil|SaoPaulo|2017-01-15	-1
JQ280940|Austria|2003-01-15	-1
KEXV01037234|Brazil|Pernambuco|2017-01-15	-1
KF922131|Brazil|RioDeJaneiro|2006-01-15	-1
KEXV01016327|Brazil|SaoPaulo|2015-01-15	-1
KEXV01008323|Brazil|RioDeJaneiro|2014-01-15	-1
JQ083026|Romania|2008-01-15	-1
MF403298|Spain|2012-01-15	-1
MN236922|Brazil|SaoPaulo|2015-01-15	-1
KEXV01037392|Brazil|Pernambuco|2017-01-15	262
JQ082986|Romania|2003-01-15	328
KEXV01007125|Brazil|MinasGerais|2014-01-15	-1
EU553120|Romania|2005-01-15	-1
MN236303|Brazil|SaoPaulo|2014-01-15	-1
KEXV01034624|Brazil|MinasGerais|2016-01-15	-1
KEXV01031359|Brazil|RioDeJaneiro|2015-01-15	-1
KJ194766|Romania|2011-01-15	-1
FJ591359|Brazil|Parana|2005-01-15	-1
JQ280927|Romania|2003-01-15	319
MN236738|Brazil|SaoPaulo|2015-01-15	220
KT355951|Brazil|Pernambuco|Recife|2009-01-15	281
MF403316|Spain|2013-01-15	-1
KEXV01015695|Brazil|SaoPaulo|2015-01-15	-1
MN528359|Brazil|Para|2014-01-15	134
JQ083070|Romania|2007-01-15	-1
KEXV01004804|Brazil|Bahia|2015-01-15	-1
MN237067|Brazil|SaoPaulo|2016-01-15	-1
EU553215|Romania|2006-01-15	-1
KJ883120|Spain|2012-01-15	-1
KEXV01033180|Brazil|Ceara|2017-01-15	-1
KC340133|Spain|2008-01-15	251
KY640150|Brazil|SaoPaulo|2015-01-15	52
JQ280928|Romania|2003-01-15	-1
KEXV01037157|Brazil|Pernambuco|2017-01-15	-1
KEXV01002506|Brazil|DistritoFederal|2015-01-15	-1
EU553216|Romania|2006-01-15	-1
KEXV01035329|Brazil|MinasGerais|2017-01-15	-1
EU553136|Romania|2005-01-15	375
KJ883151|Spain|2012-01-15	-1
EU552943|Romania|2005-01-15	334
KEXV01037414|Brazil|Pernambuco|2017-01-15	-1
EU552944|Romania|2005-01-15	-1
EF379184|Brazil|RioGrandeDoSul|2006-01-15	-1
KEXV01011583|Brazil|SaoPaulo|2015-01-15	85
KEXV01037247|Brazil|Pernambuco|2017-01-15	-1
KEXV01035621|Brazil|MatoGrossoDoSul|2017-01-15	282
KT737364|Brazil|Amapa|2014-01-15	-1
KEXV01034905|Brazil|MinasGerais|2016-01-15	-1
FJ591579|Brazil|RioDeJaneiro|2004-01-15	267
KEXV01044097|Brazil|SaoPaulo|2016-01-15	-1
KEXV01033067|Brazil|Ceara|2016-01-15	-1
JX300462|Romania|2007-01-15	258
EU553104|Romania|2004-01-15	363
KEXV01037021|Brazil|Pernambuco|2016-01-15	-1
EU553024|Romania|2003-01-15	-1
MG365856|Brazil|RioDeJaneiro|2012-01-15	-1
JQ280914|Romania|2008-01-15	-1
KEXV01045664|Brazil|SaoPaulo|2017-01-15	-1
JX459997|UnitedStates|2007-01-15	-1
EU553025|Romania|2003-01-15	-1
KEXV01040049|Brazil|Roraima|2016-01-15	-1
KJ194830|Romania|2013-01-15	-1
KEXV01034076|Brazil|Goias|2017-01-15	-1
KEXV01015496|Brazil|SaoPaulo|2015-01-15	-1
KEXV01039127|Brazil|RioDeJaneiro|2017-01-15	56
KJ194750|Romania|2012-01-15	-1
KEXV01039605|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01029750|Brazil|Pernambuco|2015-01-15	-1
KEXV01032327|Brazil|Bahia|2016-01-15	-1
KEXV01036410|Brazil|Para|2017-01-15	-1
KEXV01045775|Brazil|SaoPaulo|2017-01-15	-1
AB866775|Japan|2008-01-15	-1
MK177770|Spain|2018-01-15	329
KEXV01034529|Brazil|MinasGerais|2016-01-15	-1
KEXV01035093|Brazil|MinasGerais|2017-01-15	-1
MF545232|Brazil|MatoGrossoDoSul|2011-01-15	-1
KEXV01036892|Brazil|Pernambuco|2016-01-15	-1
MN971893|Brazil|Maranhao|2016-01-15	128
KJ883095|Spain|2011-01-15	-1
JQ280894|Romania|2006-01-15	-1
MK177748|Spain|2016-01-15	329
KEXV01035123|Brazil|MinasGerais|2017-01-15	-1
KEXV01015481|Brazil|SaoPaulo|2015-01-15	-1
OM914705|ES|2018-01-15	-1
MF403328|Spain|Valencia|2013-01-15	82
EU552972|Romania|2003-01-15	298
DQ878732|Italy|2003-01-15	-1
GQ862334|Brazil|MinasGerais|BeloHorizonte|2003-01-15	-1
MH472321|Germany|2016-01-15	337
AY643213|Brazil|SaoPaulo|2002-01-15	-1
FJ591612|Brazil|RioDeJaneiro|2004-01-15	-1
KEXV01039682|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01032556|Brazil|Bahia|2017-01-15	91
MT571157|UnitedKingdom|2014-01-15	-1
KEXV01046449|Brazil|SaoPaulo|2017-01-15	-1
KT355943|Brazil|Pernambuco|Recife|2009-01-15	25
KEXV01039156|Brazil|RioDeJaneiro|2017-01-15	-1
KEXV01038537|Brazil|RioDeJaneiro|2016-01-15	-1
EU032005|Romania|2006-01-15	351
KEXV01043106|Brazil|SaoPaulo|2016-01-15	-1
KEXV01016355|Brazil|SaoPaulo|2015-01-15	-1
OL982313|Spain|2008-01-15	-1
KEXV01036914|Brazil|Pernambuco|2016-01-15	-1
KEXV01034547|Brazil|MinasGerais|2016-01-15	-1
KT203241|Brazil|Parana|Curitiba|2015-01-15	36
EU552988|Romania|2003-01-15	-1
KEXV01045245|Brazil|SaoPaulo|2017-01-15	-1
DQ899669|Brazil|RioDeJaneiro|2005-01-15	-1
MW489613|Italy|2017-01-15	-1
KEXV01036747|Brazil|Pernambuco|2016-01-15	232
JQ083053|Romania|2007-01-15	-1
KEXV01046303|Brazil|SaoPaulo|2017-01-15	84
MT570670|UnitedKingdom|2016-01-15	-1
KEXV01033421|Brazil|DistritoFederal|2017-01-15	-1
JQ083007|Romania|2004-01-15	-1
KEXV01038491|Brazil|RioDeJaneiro|2016-01-15	51
KEXV01042251|Brazil|SantaCatarina|2016-01-15	-1
MN509115|Brazil|Goias|2014-01-15	-1
EU553195|Romania|2005-01-15	-1
JQ083054|Romania|2007-01-15	297
JN010242|Spain|2011-01-15	-1
KEXV01043217|Brazil|SaoPaulo|2016-01-15	-1
KEXV01034798|Brazil|MinasGerais|2016-01-15	-1
KEXV01033125|Brazil|Ceara|2017-01-15	-1
KEXV01038230|Brazil|RioDeJaneiro|2016-01-15	-1
MW489744|Italy|2017-01-15	-1
KEXV01035681|Brazil|MatoGrossoDoSul|2017-01-15	-1
ON989254|Cyprus|2017-01-15	271
KT737289|Brazil|Amapa|2014-01-15	-1
KEXV01035574|Brazil|MatoGrossoDoSul|2016-01-15	-1
KEXV01046765|Brazil|SaoPaulo|2017-01-15	-1
KEXV01012401|Brazil|RioGrandeDoSul|2015-01-15	-1
MF545199|Brazil|MatoGrossoDoSul|2011-01-15	116
KEXV01038876|Brazil|RioDeJaneiro|2016-01-15	-1
